timestamp_ns,busv,current,power,hall_speed
1778180891238173050,12.496,1.865,196.225,2.3625000000000003
1778180891438764250,12.5,1.9125,598.825,2.3625000000000003
1778180891639125740,12.484,1.8975,189.05,2.3625000000000003
1778180891839425454,12.496,1.9675,576.925,2.3625000000000003
1778180892039524360,12.492,1.9825,122.225,2.3625000000000003
1778180892440525132,12.488,1.865,373.0,2.3625000000000003
1778180892841672800,12.492,1.85,1138.3,2.3625000000000003
1778180893242935972,12.5,1.9125,197.0,2.3625000000000003
1778180893643831166,12.496,2.0325,601.175,2.3625000000000003
1778180894044750435,12.5,1.8825,196.225,2.3625000000000003
1778180894345373266,12.496,1.8825,598.825,2.3625000000000003
1778180894545970067,12.488,1.8825,189.05,2.3625000000000003
1778180894746674953,12.496,1.9975,576.925,2.3625000000000003
1778180895147796431,12.496,1.9125,122.225,2.3625000000000003
1778180895548845822,12.5,1.8325,373.0,2.3625000000000003
1778180895949602507,12.484,1.8975,1138.3,2.3625000000000003
1778180896351064224,12.496,2.0825,197.0,2.3625000000000003
1778180896752084502,12.496,1.8825,601.175,2.3625000000000003
1778180897152921054,12.504,1.9475,196.225,2.3625000000000003
1778180897453795227,12.492,1.9975,598.825,2.3625000000000003
1778180897654190381,12.5,2.1,189.05,2.3625000000000003
1778180898055004141,12.504,1.9825,576.925,2.3625000000000003
1778180898355889927,12.492,1.9825,122.225,2.3625000000000003
1778180898556563553,12.496,2.0825,373.0,2.3625000000000003
1778180898756972342,12.496,1.9125,1138.3,2.3625000000000003
1778180899158037024,12.488,1.8975,197.0,2.3625000000000003
1778180899558933299,12.492,1.9825,601.175,2.3625000000000003
1778180899959880730,12.5,1.9475,196.225,2.3625000000000003
1778180900360726931,12.496,1.9675,598.825,2.3625000000000003
1778180900561432147,12.504,2.1,189.05,2.3625000000000003
1778180900761873217,12.496,2.165,576.925,2.3625000000000003
1778180901062479346,12.5,2.0175,122.225,2.3625000000000003
1778180901463896981,12.508,1.9475,373.0,2.3625000000000003
1778180901864411327,12.496,2.0825,1138.3,2.3625000000000003
1778180902264873577,12.492,1.9975,197.0,0.0
1778180902665781213,12.488,1.815,601.175,0.0
1778180903067079394,12.5,1.9475,196.225,0.0
1778180903467812602,12.496,1.9475,598.825,0.0
1778180903668284739,12.488,1.85,189.05,0.0
1778180903868663271,12.496,1.85,576.925,0.0
1778180904069044077,12.496,1.8825,122.225,0.0
1778180904269459588,12.496,1.9125,373.0,0.0
1778180904570173149,12.492,2.0175,1138.3,0.0
1778180904970755875,12.492,2.0825,197.0,0.0
1778180905371884879,12.5,1.9675,601.175,0.0
1778180905772736851,12.492,2.0325,196.225,0.0
1778180906173203599,12.492,2.0175,598.825,0.0
1778180906373553056,12.492,1.8,189.05,0.0
1778180906574007630,12.504,1.865,576.925,0.0
1778180906774685605,12.496,1.8825,122.225,0.0
1778180907075265876,12.504,2.0175,373.0,0.0
1778180907275418203,12.488,2.165,1138.3,0.0
1778180907676538750,12.496,2.15,197.0,0.0
1778180908077575839,12.492,2.5175,601.175,0.0
1778180908478505376,12.496,1.9125,196.225,0.0
1778180908879542317,12.504,2.0325,598.825,0.0
1778180909079958249,12.5,1.85,189.05,0.0
1778180909280138709,12.504,1.8825,576.925,0.0
1778180909480568096,12.492,1.865,122.225,0.0
1778180909780703691,12.508,1.865,373.0,0.0
1778180910181489458,12.5,1.8975,1138.3,0.0
1778180910582743065,12.488,1.9125,197.0,0.0
1778180945056871425,12.5,1.85,601.175,0.0
1778180945257574126,12.508,1.865,196.225,0.0
1778180945457971112,12.5,1.8825,598.825,0.0
1778180945859377395,12.496,1.9125,189.05,0.0
1778180946260503021,12.5,1.9125,576.925,0.0
1778180946561172039,12.5,2.1,122.225,0.0
1778180946761632125,12.5,1.8975,373.0,0.0
1778180947162470490,12.512,2.0475,1138.3,0.0
1778180947563489405,12.504,1.8975,197.0,0.0
1778180947964259912,12.504,1.9475,601.175,0.0
1778180948365283196,12.504,1.8975,196.225,0.0
1778180948565706913,12.496,1.85,598.825,0.0
1778180948866345202,12.496,1.9675,189.05,0.0
1778180949267176145,12.5,1.9825,576.925,0.0
1778180949668236857,12.496,1.85,122.225,0.0
1778180949968668489,12.504,1.9825,373.0,0.0
1778180950169558423,12.504,1.9975,1138.3,0.0
1778180950570350381,12.504,2.0675,197.0,0.0
1778180950971367292,12.5,1.865,601.175,0.0
1778180951372269068,12.496,1.9475,196.225,0.0
1778180951572568482,12.496,1.9975,598.825,0.0
1778180951772875759,12.5,1.9125,189.05,0.0
1778180952073875799,12.484,2.0675,576.925,0.0
1778180952474986436,12.5,1.865,122.225,0.0
1778180952875849237,12.516,1.9975,373.0,0.0
1778180953076604628,12.496,1.9825,1138.3,0.0
1778180953276982138,12.5,1.815,197.0,0.0
1778180953577943945,12.504,2.265,601.175,0.0
1778180953978807017,12.5,1.8975,196.225,0.0
1778180954379663768,12.5,1.78,598.825,0.0
1778180954780180208,12.496,1.85,189.05,0.0
1778180955181392626,12.492,1.865,576.925,0.0
1778180955481890973,12.496,1.85,122.225,0.0
1778180955682836781,12.504,1.865,373.0,0.0
1778180956083941508,12.496,2.165,1138.3,0.0
1778180956484654318,12.496,1.8975,197.0,0.0
1778180956785167842,12.492,1.8975,601.175,0.0
1778180957186387274,12.5,1.9975,196.225,0.0
