timestamp_ns,busv,current,power,hall_speed
1777578663518355374,12.312,1.7,464.25,0.0
1777578663919235503,12.308,1.65,1416.775,0.0
1777578664320406218,12.312,1.65,1046.85,0.0
1777578664621193800,12.304,1.7,1556.325,0.0
1777578664921371283,12.312,1.665,1472.725,0.0
1777578665121954547,12.312,1.665,1217.6,0.0
1777578665322410802,12.308,1.68,439.0,0.0
1777578665523141094,12.312,1.73,1339.7,0.0
1777578665723617094,12.308,1.665,811.625,0.0
1777578666024335816,12.312,1.7,838.475,0.0
1777578666424827694,12.308,1.6325,920.4,0.0
1777578666825169160,12.312,1.665,1170.425,0.0
1777578667225861195,12.308,1.65,295.05,0.0
1777578667626192380,12.308,1.665,900.4,0.0
1777578668026982832,12.308,1.68,1109.4,0.0
1777578668427788770,12.304,1.6325,108.8,0.0
1777578668828611521,12.308,1.665,332.025,0.0
1777578669229343872,12.308,1.6325,1013.25,0.0
1777578669530329125,12.308,1.6325,1453.775,0.0
1777578669730829303,12.312,1.5975,1159.75,0.0
1777578669930809813,12.308,1.665,262.475,0.0
1777578670131230631,12.308,1.665,801.0,0.0
1777578670331824366,12.308,1.665,806.05,0.0
1777578670732944465,12.308,1.615,821.45,0.0
1777578671133803625,12.308,1.665,868.45,0.0
1777578671334453343,12.308,1.68,1011.875,0.0
1777578671534889169,12.308,1.65,1449.575,0.0
1777578671735046031,12.308,1.6325,1146.95,0.0
1777578671935546250,12.308,1.665,223.4,0.0
1777578672236050698,12.312,1.7,681.75,0.0
1777578672637222637,12.312,1.68,442.125,0.0
1777578673038032723,12.312,1.68,1349.25,0.0
1777578673439057644,12.308,1.68,840.775,0.0
1777578673839913018,12.304,1.68,927.425,0.0
1777578674240315197,12.312,1.615,1191.875,0.0
1777578674641282610,12.308,1.665,360.5,0.0
1777578674841456443,12.312,1.65,1100.15,0.0
1777578675141638777,12.308,1.665,80.575,0.0
1777578675341979535,12.308,1.68,245.875,0.0
1777578675542132158,12.304,1.73,750.35,0.0
1777578675742316992,12.308,1.6325,651.475,0.0
1777578676042583925,12.308,1.665,349.725,0.0
1777578676342964541,12.312,1.6325,1067.275,0.0
1777578676543005756,12.308,1.68,1618.65,0.0
1777578676943296676,12.312,1.665,24.525,0.0
1777578677343892462,12.312,1.6325,74.825,0.0
1777578677745151153,12.308,1.715,228.325,0.0
1777578678146062730,12.308,1.7,696.775,0.0
1777578678446436925,12.308,1.665,487.975,0.0
1777578678647052648,12.312,1.5975,1489.175,0.0
1777578678847796445,12.308,1.68,1267.8,0.0
1777578679249088228,12.312,1.615,592.2,0.0
1777578679649939021,12.312,1.5975,168.85,0.0
1777578680050440377,12.308,1.715,515.275,0.0
1777578680451137824,12.308,1.6325,1572.475,0.0
1777578680852041286,12.308,1.65,1522.0,0.0
1777578681052476501,12.304,1.615,1367.975,0.0
1777578681253194469,12.308,1.68,897.925,0.0
1777578681453937773,12.312,1.615,1101.825,0.0
1777578681653946917,12.312,1.715,85.7,0.0
1777578681954322974,12.308,1.6325,261.525,0.0
1777578682155072330,12.308,1.715,798.1,0.0
1777578682355192222,12.304,1.665,797.2,0.0
1777578682555897577,12.308,1.6325,794.45,0.0
1777578682957058853,12.308,1.68,786.05,0.0
1777578683358155821,12.312,1.715,760.425,0.0
1777578683758877831,12.308,1.665,682.225,0.0
1777578684160087912,12.308,1.65,443.575,0.0
1777578684561239041,12.304,1.665,1353.675,0.0
1777578684862079741,12.308,1.68,854.275,0.0
