timestamp_ns,busv,current,power,hall_speed
1777577342627006734,11.872,5.915,1121.975,17.8325
1777577343027835202,12.076,2.7825,147.175,17.814999999999998
1777577343428839118,12.096,3.015,449.125,17.622500000000002
1777577343729705414,11.452,17.0325,1370.6,17.622500000000002
1777577344130701916,11.352,19.93,905.925,17.622500000000002
1777577344431089532,11.34,19.85,1126.25,17.64
1777577344831939560,11.272,21.315,160.225,17.7625
1777577345032056494,11.228,21.665,488.95,17.8675
1777577345332989886,11.244,21.315,1492.15,17.99
1777577345834484900,11.284,19.7825,1276.875,17.99
1777577346235778550,11.244,21.4975,619.9,18.0775
1777577346636667361,11.424,16.9675,253.375,18.1125
1777577346937140277,11.344,19.6675,773.225,18.095
1777577347338149644,11.38,18.415,721.275,18.0075
1777577347638834749,11.288,19.55,562.75,17.9725
1777577348040166082,11.328,19.915,78.975,17.9725
1777577348441013826,11.344,19.85,241.0,17.9375
1777577348842034114,11.3,19.915,735.45,17.99
1777577349142276096,11.292,20.9,606.0,17.9725
1777577349543593623,11.348,19.515,210.95,18.060000000000002
1777577349944781026,11.86,7.765,643.75,18.060000000000002
1777577350345208629,12.116,2.8825,326.15,18.0425
1777577350746460472,12.196,1.8825,995.325,17.9025
1777577351147119330,12.216,1.78,1399.075,17.6575
1777577351347565132,12.208,1.7,992.825,17.4825
1777577351548199399,12.216,1.75,1391.45,17.4825
1777577351748935919,12.172,1.75,969.55,17.272499999999997
1777577352049640181,12.236,1.73,1320.425,16.9225
1777577352450367358,12.236,1.8,752.8,16.9225
1777577352851334235,12.248,1.73,658.95,16.625
1777577353252890352,12.252,1.715,372.55,16.3275
1777577353553705451,12.26,1.815,1136.925,15.977500000000001
1777577353754309491,12.26,1.75,192.8,15.977500000000001
1777577354155551396,12.268,1.73,588.375,15.102500000000001
1777577354556395442,12.272,1.75,157.175,15.102500000000001
1777577354957017310,12.272,1.75,479.65,14.682500000000001
1777577355358311522,12.276,1.8,1463.775,14.4375
1777577355659134377,12.28,1.73,1190.275,14.4375
1777577355859659158,12.28,1.73,355.625,14.209999999999999
1777577356260736032,12.284,1.765,1085.275,14.209999999999999
1777577356661750860,12.284,1.73,35.175,14.0
1777577357061995439,12.296,1.73,107.325,14.0
1777577357262420753,12.292,1.8,327.525,13.667499999999999
1777577357463039741,12.304,1.73,999.525,13.335
1777577357663864207,12.3,1.75,1411.9,13.335
1777577357964485362,12.26,1.765,1031.975,13.020000000000001
1777577358365709494,12.288,1.75,1510.925,13.020000000000001
1777577358666185926,12.292,1.7,1334.175,12.6875
1777577358866703183,12.296,1.78,794.775,12.6875
1777577359267373052,12.296,1.8,787.05,12.39
1777577359668196419,12.3,1.73,763.475,12.39
1777577359969155932,12.304,1.73,691.525,12.1975
1777577360370608752,12.308,1.715,471.95,12.1975
1777577360771984088,12.304,1.68,1440.275,12.0575
1777577361172598762,12.304,1.73,1118.55,12.0575
1777577361373249942,12.312,1.8,136.725,11.707500000000001
1777577361674467567,12.308,1.9325,417.25,11.707500000000001
1777577362075881887,12.304,1.8975,1273.325,11.585
1777577362477286307,12.312,1.9125,609.075,11.585
