timestamp_ns,busv,current,power,hall_speed
1778180879061617535,12.48,1.9675,189.05,0.0
1778180879262201883,12.488,1.8975,576.925,0.0
1778180879462783246,12.48,1.9825,122.225,0.0
1778180879663601394,12.492,1.8975,373.0,0.0
1778180879864148503,12.488,1.9825,1138.3,0.0
1778180880264697355,12.496,1.85,197.0,0.0
1778180880665764532,12.484,1.9125,601.175,0.0
1778180881066908393,12.484,1.85,196.225,0.0
1778180881367744515,12.484,1.9975,598.825,0.0
1778180881567876373,12.484,1.9125,189.05,0.0
1778180881768041293,12.48,1.78,576.925,0.0
1778180882169149407,12.48,1.8825,122.225,0.0
1778180882569720771,12.476,1.8325,373.0,0.0
1778180882870569858,12.476,1.9675,1138.3,0.0
1778180883171530786,12.484,1.8325,197.0,0.0
1778180883372143518,12.484,2.0325,601.175,0.0
1778180883572310502,12.488,1.8975,196.225,0.105
1778180883872989418,12.484,1.8325,598.825,0.105
1778180884073153216,12.496,1.8325,189.05,0.105
1778180884273690066,12.492,1.8325,576.925,0.105
1778180884474013835,12.488,1.78,122.225,0.105
1778180884674786769,12.484,1.9125,373.0,0.105
1778180884975679908,12.492,1.85,1138.3,0.105
1778180885376888870,12.492,1.9975,197.0,0.105
1778180885777742536,12.488,1.865,601.175,0.105
1778180886178938214,12.5,1.8325,196.225,2.9225
1778180886580373983,12.492,1.9675,598.825,2.9225
1778180886980973380,12.484,1.8325,189.05,2.9225
1778180887281420541,12.48,1.85,576.925,2.9225
1778180887481541068,12.492,1.9125,122.225,2.9225
1778180887882597163,12.488,1.815,373.0,4.34
